Date,close,high,low,open,volume,symbol
2016-02-25,9550.9736328125,10290.845269777965,9509.993620783496,10290.845269777965,1372300,399001.SZ
2016-02-26,9573.5927734375,9676.13166194765,9392.564531253434,9625.262115549214,1016000,399001.SZ
2016-02-29,9097.2578125,9528.6123255198,9000.788196725074,9528.6123255198,1111500,399001.SZ
2016-03-01,9321.8955078125,9384.204379684395,9011.40875378547,9116.457380948417,1093100,399001.SZ
2016-03-02,9766.2607421875,9781.800607214842,9308.385987238431,9308.385987238431,1472300,399001.SZ
2016-03-03,9761.900390625,9946.82898269701,9748.890770763335,9770.630761557537,1589200,399001.SZ
2016-03-04,9536.603515625,9797.450213490863,9447.004906328482,9721.12196388623,1424800,399001.SZ
2016-03-07,9703.7216796875,9805.260584478121,9614.583027001012,9642.142289454208,1045300,399001.SZ
2016-03-08,9732.6220703125,9732.6220703125,9348.6556436672,9690.462383621898,1182600,399001.SZ
2016-03-09,9523.033203125,9672.382119689753,9466.384422263818,9525.143531098953,905200,399001.SZ
2016-03-10,9390.244140625,9600.12264269992,9382.054779480748,9526.083435226306,736700,399001.SZ
2016-03-11,9363.3046875,9430.843965796565,9254.135995306815,9286.425670656736,624000,399001.SZ
2016-03-14,9665.021484375,9763.260616945054,9466.31375205207,9466.31375205207,1049000,399001.SZ
2016-03-15,9574.0830078125,9677.371887966605,9536.162534845336,9636.521760370368,842600,399001.SZ
2016-03-16,9468.923828125,9661.821073724857,9418.44392684697,9629.712059679714,748100,399001.SZ
2016-03-17,9791.740234375,9820.8805338741,9511.603715098514,9515.52359318797,1156800,399001.SZ
2016-03-18,10126.4765625,10170.576655105631,9833.000353325266,9840.929952119697,1659800,399001.SZ
2016-03-21,10394.0234375,10394.0234375,10234.535962845779,10255.785725261669,1799200,399001.SZ
2016-03-22,10343.9638671875,10435.012648972714,10254.575223001202,10308.794340430246,1393400,399001.SZ
2016-03-23,10442.2626953125,10442.2626953125,10277.134665636771,10317.813896617192,1207800,399001.SZ
2016-03-24,10283.564453125,10473.102368285492,10263.444561394652,10346.44363133329,1324500,399001.SZ
2016-03-25,10339.5634765625,10371.402962454404,10223.045254912446,10256.294881205156,1031500,399001.SZ
2016-03-28,10276.724609375,10494.082523672285,10248.154617234386,10399.053315810812,1172400,399001.SZ
