Date,close,high,low,open,volume,symbol
2016-02-25,4.161494255065918,4.308489875951043,4.136150582554332,4.303421141448726,110689344,600016.SS
2016-02-26,4.251015663146973,4.286824204675305,4.1435891604209605,4.189628922895725,121747172,600016.SS
2016-02-29,4.322633266448975,4.337979953358818,4.194744891865589,4.225438265685278,135642176,600016.SS
2016-03-01,4.312402725219727,4.34309580700557,4.2714781283157475,4.317517897351369,59117658,600016.SS
2016-03-02,4.378903865814209,4.389135086394925,4.3175171277572355,4.348210496785723,92748843,600016.SS
2016-03-03,4.4505228996276855,4.465869588858807,4.3533272987351666,4.39425160820899,112026994,600016.SS
2016-03-04,4.772801399230957,4.798378722454534,4.414713019826864,4.424944241829995,589243378,600016.SS
2016-03-07,4.690952301025391,4.77791666526689,4.660259219838872,4.73187689713026,146160913,600016.SS
2016-03-08,4.7523393630981445,4.793263964430052,4.465869495484749,4.66025981506415,165484957,600016.SS
2016-03-09,4.77791690826416,4.783032373269792,4.557948985884726,4.609104221368499,215937247,600016.SS
2016-03-10,4.629566669464111,4.742108962879831,4.614219979784069,4.696069186553465,98366173,600016.SS
2016-03-11,4.665374755859375,4.680721442081068,4.537485801583165,4.603988303686297,104186919,600016.SS
2016-03-14,4.619335174560547,4.742108083814409,4.57329511405507,4.701183488016083,112680812,600016.SS
2016-03-15,4.690952301025391,4.706298987975503,4.583526077802017,4.64491253288876,85998046,600016.SS
2016-03-16,4.829072952270508,4.900690937908842,4.6449135468107645,4.660260237110852,408590694,600016.SS
2016-03-17,4.706298828125,4.849534470556449,4.609103830407521,4.839303248699311,206829685,600016.SS
2016-03-18,4.670490264892578,4.721645495834367,4.644912356707987,4.701183344914912,185197788,600016.SS
2016-03-21,4.706298828125,4.7369922009827174,4.665374818837538,4.6858369698381175,103336761,600016.SS
2016-03-22,4.701183319091797,4.798378608603747,4.680721460998433,4.72676122713589,103919090,600016.SS
2016-03-23,4.685837268829346,4.711415178747403,4.665375116523129,4.68072180393122,59134414,600016.SS
2016-03-24,4.650028228759766,4.680721602253466,4.644912471368347,4.665374915506615,68234919,600016.SS
2016-03-25,4.650028228759766,4.675605552148344,4.650028228759766,4.650028228759766,42677449,600016.SS
2016-03-28,4.568180084228516,4.665375685427395,4.532371532861364,4.655144461669815,90007387,600016.SS
2016-03-29,4.5732951164245605,4.62956581365979,4.563063894291251,4.583526045844164,67441326,600016.SS
2016-03-30,4.675605773925781,4.6909524614005695,4.588641992138562,4.614219316740347,90107866,600016.SS
2016-03-31,4.66025972366333,4.696068858894085,4.634682397170803,4.6909528081681025,41848812,600016.SS
2016-04-01,4.726761341094971,4.731876805741642,4.593757211285603,4.67560552377345,112932194,600016.SS
2016-04-05,4.716530799865723,4.742108712218364,4.609104563211354,4.665375560587926,84175948,600016.SS
2016-04-06,4.629566669464111,4.716531049175175,4.609104806842401,4.670491272848809,125257177,600016.SS
2016-04-07,4.598873138427734,4.644913205949404,4.5937579656547705,4.639797740462691,69159939,600016.SS
2016-04-08,4.598873138427734,4.6244510512888,4.547717898133102,4.563064587306991,50300551,600016.SS
2016-04-11,4.609103202819824,4.6449117426597795,4.5784098341413975,4.5784098341413975,59817838,600016.SS
2016-04-12,4.619335174560547,4.634681861395706,4.598872437590827,4.619335174560547,39659842,600016.SS
2016-04-13,4.66025972366333,4.68072217028483,4.614219657835564,4.634682397170803,136433983,600016.SS
2016-04-14,4.66025972366333,4.696068858894085,4.650028793066319,4.696068858894085,85092651,600016.SS
2016-04-15,4.7114152908325195,4.736992615931634,4.660259469779402,4.67560586483887,140220052,600016.SS
2016-04-18,4.701183319091797,4.742107913419608,4.655143552954339,4.660259017477681,130360558,600016.SS
2016-04-19,4.706298828125,4.7369922009827174,4.680721505266397,4.721645514553859,101335305,600016.SS
2016-04-20,4.767685413360596,4.7779166355015015,4.568179362393135,4.706298958656277,191146868,600016.SS
2016-04-21,4.757454872131348,4.900689935982882,4.7062990531138045,4.726761497806306,200346112,600016.SS
2016-04-22,4.808610439300537,4.880228122551364,4.7216460678225705,4.731877290878574,87672825,600016.SS
2016-04-25,4.829072952270508,4.8597663328706835,4.731877930035416,4.767686483783926,84352879,600016.SS
2016-04-26,4.839303493499756,4.9006899496067815,4.798378896714693,4.808610119089387,91018820,600016.SS
2016-04-27,4.803494453430176,4.864881199684403,4.798378696099857,4.859765149640384,90770677,600016.SS
2016-04-28,4.793263912200928,4.859765839802377,4.772802050828551,4.823957289686977,52827308,600016.SS
2016-04-29,4.757454872131348,4.849534702392761,4.752338821887656,4.788148246456389,83645420,600016.SS
2016-05-03,4.798378944396973,4.818841389349699,4.747223710156303,4.76257039751399,55029063,600016.SS
2016-05-04,4.798378944396973,4.81372563175466,4.757454932632665,4.757454932632665,28016074,600016.SS
2016-05-05,4.788147926330566,4.803494319753348,4.777916411954663,4.7830318764289235,28007998,600016.SS
2016-05-06,4.736992359161377,4.793263349470407,4.721645672220058,4.788148177441577,50864257,600016.SS
2016-05-09,4.716530799865723,4.772802089956038,4.6602598024891515,4.731877488734559,55651688,600016.SS
2016-05-10,4.736992359161377,4.762570268301477,4.670490439367272,4.670490439367272,42325228,600016.SS
2016-05-11,4.747223854064941,4.772801764674367,4.721645943455515,4.747223854064941,44337894,600016.SS
2016-05-12,4.74210786819458,4.777916412230159,4.721645424868975,4.74210786819458,87955646,600016.SS
2016-05-13,4.701183319091797,4.747223377942949,4.69606814728215,4.7216454698988555,130225778,600016.SS
2016-05-16,4.706298828125,4.726761271839276,4.680721505266397,4.680721505266397,39693054,600016.SS
2016-05-17,4.6449127197265625,4.706299177282525,4.6397972547753294,4.706299177282525,68261235,600016.SS
2016-05-18,4.670490264892578,4.690952123098337,4.614218983971957,4.644912356707987,166374433,600016.SS
2016-05-19,4.603989124298096,4.660259829284466,4.598873073456161,4.655144363870022,68412892,600016.SS
2016-05-20,4.603989124298096,4.62445098595587,4.593757900755463,4.593757900755463,188815630,600016.SS
2016-05-23,4.537485599517822,4.619334784197702,4.532370427956639,4.603988098659435,153777274,600016.SS
2016-05-24,4.440291881561279,4.5426029526982825,4.430060657362073,4.5426029526982825,260972612,600016.SS
2016-05-25,4.532370567321777,4.537485739040245,4.445405915692972,4.476099287713293,88812128,600016.SS
2016-05-26,4.552833080291748,4.552833080291748,4.506793308348937,4.51190906623104,72425742,600016.SS
2016-05-27,4.557949066162109,4.573295461449298,4.517024467255092,4.527255690160278,86583921,600016.SS
2016-05-30,4.578410625457764,4.583526090217088,4.517024170204747,4.557948766420466,150446955,600016.SS
2016-05-31,4.650028228759766,4.680721602253466,4.583526017094648,4.583526017094648,169459383,600016.SS
2016-06-01,4.593756675720215,4.665374343278839,4.588641211669932,4.665374343278839,128579041,600016.SS
2016-06-02,4.588642597198486,4.609104752291778,4.563064683796555,4.59375806279337,60077986,600016.SS
2016-06-03,4.598873138427734,4.6193358785158365,4.557949414534027,4.6193358785158365,75440023,600016.SS
